name,numel,mean,std,min,max
image_encoder.trunk.patch_embed.proj.weight,16464,-0.0003654124739114195,0.019766805693507195,-0.13725562393665314,0.15103831887245178
image_encoder.trunk.patch_embed.proj.bias,112,-0.009037242271006107,0.19328823685646057,-1.2190691232681274,0.4677557647228241
image_encoder.trunk.blocks.0.norm1.weight,112,0.8640316724777222,0.28460508584976196,0.24590814113616943,2.011146068572998
image_encoder.trunk.blocks.0.norm1.bias,112,-0.004639146383851767,0.411878377199173,-1.3682379722595215,1.7040332555770874
image_encoder.trunk.blocks.0.attn.qkv.weight,37632,0.00026412951410748065,0.0906364768743515,-0.6272900104522705,0.6408467292785645
image_encoder.trunk.blocks.0.attn.qkv.bias,336,0.032704778015613556,0.33964627981185913,-1.6340203285217285,1.828816533088684
image_encoder.trunk.blocks.0.attn.proj.weight,12544,4.128944419790059e-05,0.031026504933834076,-0.33485227823257446,0.3736264705657959
image_encoder.trunk.blocks.0.attn.proj.bias,112,0.003184140892699361,0.16579842567443848,-0.40331360697746277,0.9609766602516174
image_encoder.trunk.blocks.0.norm2.weight,112,2.804813861846924,1.1890230178833008,0.5952999591827393,7.462252616882324
image_encoder.trunk.blocks.0.norm2.bias,112,0.05342206731438637,0.72366863489151,-1.8890827894210815,2.388965368270874
image_encoder.trunk.blocks.0.mlp.layers.0.weight,50176,-9.414300620846916e-06,0.04104858264327049,-0.7030191421508789,0.6014230251312256
image_encoder.trunk.blocks.0.mlp.layers.0.bias,448,-0.07220479100942612,0.3833155632019043,-1.4742815494537354,0.7971392273902893
image_encoder.trunk.blocks.0.mlp.layers.1.weight,50176,0.0001709208736428991,0.02897793799638748,-0.4081307649612427,0.282209575176239
image_encoder.trunk.blocks.0.mlp.layers.1.bias,112,-0.03333895280957222,0.2612243592739105,-1.6355091333389282,0.5676767230033875
image_encoder.trunk.blocks.1.norm1.weight,112,1.5717958211898804,0.35762274265289307,0.33650583028793335,2.0859017372131348
image_encoder.trunk.blocks.1.norm1.bias,112,-0.06671129912137985,0.3252153992652893,-1.0892550945281982,2.0274159908294678
image_encoder.trunk.blocks.1.attn.qkv.weight,37632,-9.204175876220688e-05,0.04888378828763962,-0.34708741307258606,0.30258411169052124
image_encoder.trunk.blocks.1.attn.qkv.bias,336,-0.021458664909005165,0.268625944852829,-1.2916182279586792,1.0622481107711792
image_encoder.trunk.blocks.1.attn.proj.weight,12544,-6.901992310304195e-05,0.029812147840857506,-0.2804228365421295,0.15193894505500793
image_encoder.trunk.blocks.1.attn.proj.bias,112,0.0011984823504462838,0.09939852356910706,-0.4168339967727661,0.22306452691555023
image_encoder.trunk.blocks.1.norm2.weight,112,2.712634563446045,0.6399914026260376,0.8661789298057556,3.7188327312469482
image_encoder.trunk.blocks.1.norm2.bias,112,-0.06670645624399185,0.281295508146286,-0.9296305775642395,0.6507354378700256
image_encoder.trunk.blocks.1.mlp.layers.0.weight,50176,-0.0009380112169310451,0.03556544706225395,-0.23991087079048157,0.2872689962387085
image_encoder.trunk.blocks.1.mlp.layers.0.bias,448,-0.29540619254112244,0.22496578097343445,-1.1221284866333008,0.682196319103241
image_encoder.trunk.blocks.1.mlp.layers.1.weight,50176,1.578953924763482e-05,0.03396150469779968,-0.29613935947418213,0.4079497456550598
image_encoder.trunk.blocks.1.mlp.layers.1.bias,112,-0.004616145044565201,0.12946948409080505,-0.681916356086731,0.28451648354530334
image_encoder.trunk.blocks.2.norm1.weight,112,1.423093557357788,0.5711387991905212,0.3273858428001404,4.286019802093506
image_encoder.trunk.blocks.2.norm1.bias,112,-0.10060961544513702,0.2719340920448303,-1.0464446544647217,2.266477346420288
image_encoder.trunk.blocks.2.attn.qkv.weight,75264,-0.00040626790723763406,0.050282079726457596,-0.3948605954647064,0.5143874287605286
image_encoder.trunk.blocks.2.attn.qkv.bias,672,-0.16875387728214264,0.31623008847236633,-2.1178150177001953,1.3006799221038818
image_encoder.trunk.blocks.2.attn.proj.weight,50176,8.908252493711188e-05,0.030828557908535004,-0.21793341636657715,0.21994951367378235
image_encoder.trunk.blocks.2.attn.proj.bias,224,-0.0888424962759018,0.2106301337480545,-1.1320760250091553,0.5018432140350342
image_encoder.trunk.blocks.2.norm2.weight,224,1.2611868381500244,0.26607754826545715,0.31897982954978943,1.871670126914978
image_encoder.trunk.blocks.2.norm2.bias,224,-0.07198773324489594,0.30124837160110474,-0.9251359701156616,1.559175729751587
image_encoder.trunk.blocks.2.mlp.layers.0.weight,200704,0.0004012822173535824,0.03352506831288338,-0.45515498518943787,0.6662040948867798
image_encoder.trunk.blocks.2.mlp.layers.0.bias,896,-0.36544737219810486,0.21796925365924835,-1.5416394472122192,0.16289807856082916
image_encoder.trunk.blocks.2.mlp.layers.1.weight,200704,-0.0004425218503456563,0.03009265847504139,-0.4469109773635864,0.5810869932174683
image_encoder.trunk.blocks.2.mlp.layers.1.bias,224,-0.09994546324014664,0.19298645853996277,-1.1229771375656128,0.32101383805274963
image_encoder.trunk.blocks.2.proj.weight,25088,-0.0009645528625696898,0.01862494833767414,-0.24024222791194916,0.25239869952201843
image_encoder.trunk.blocks.2.proj.bias,224,-0.07247941195964813,0.2851363718509674,-2.0149953365325928,0.5879113674163818
image_encoder.trunk.blocks.3.norm1.weight,224,0.9334389567375183,0.22194653749465942,0.07587212324142456,1.4316679239273071
image_encoder.trunk.blocks.3.norm1.bias,224,-0.029967844486236572,0.25251877307891846,-0.6851920485496521,1.724342942237854
