module,numel,mean,std,min,max
image_encoder,67724686,-4.169216026639333e-06,0.001857122522778809,-0.008633702993392944,0.00856934953480959
sam_prompt_encoder,752,0.00024054133973550051,0.02742183580994606,-0.12196508795022964,0.08745136857032776
sam_mask_decoder,2307023,1.9734467059606686e-05,0.004706036299467087,-0.023510072380304337,0.023902826011180878
